State,Low,High
ALABAMA,2.0,5.0
ALASKA,0.0,0.0
ARIZONA,2.59,4.50
ARKANSAS ,2.0,6.6
CALIFORNIA ,1.0,12.3
COLORADO ,4.63,4.6
CONNECTICUT,3.0,6.99
DELAWARE,0.0,6.6
FLORIDA,0.0,0.0
GEORGIA ,1.0,5.75
HAWAII ,1.4,11.0
IDAHO ,1.125,6.925
ILLINOIS ,4.95,4.95
INDIANA ,3.23,3.23
IOWA ,0.33,8.53
KANSAS ,3.1,5.7
KENTUCKY,5.0,5.0
LOUISIANA,2.0,6.0
MAINE ,5.8,7.15
MARYLAND,2.0,5.75
MASSACHUSETTS ,5.0,5.0
MICHIGAN ,4.25,4.25
MINNESOTA ,5.35,9.85
MISSISSIPPI,3.0,5.0
MISSOURI ,1.5,5.4
MONTANA ,1.0,6.9
NEBRASKA ,2.46,6.84
NEVADA,0.0,0.0
NEW HAMPSHIRE,0.0,0.0
NEW JERSEY,1.4,10.75
NEW MEXICO,1.7,4.9
NEW YORK ,4.0,8.82
NORTH CAROLINA ,5.25,5.25
NORTH DAKOTA ,1.10,2.90
OHIO,0.0,4.797
OKLAHOMA,0.5,5.0
OREGON ,4.75,9.9
PENNSYLVANIA,3.07,3.07
RHODE ISLAND ,3.75,5.99
SOUTH CAROLINA ,0.0,7.0
SOUTH DAKOTA,0.0,0.0
TENNESSEE,0.0,0.0
TEXAS,0.0,0.0
UTAH ,4.95,4.95
VERMONT ,3.35,8.75
VIRGINIA ,2.0,5.75
WASHINGTON,0.0,0.0
WEST VIRGINIA,3.0,6.5
WISCONSIN ,4.0,7.65
WYOMING,0.0,0.0
