"State","amountPerPupil"
"New York","23091"
"Connecticut","19322"
"New Jersey","18920"
"Vermont","18290"
"Alaska","17838"
"Wyoming","16537"
"Massachusetts","16197"
"Rhode Island","15943"
"Pennsylvania","15798"
"New Hampshire","15683"
"Illinois","15337"
"Delaware","15302"
"Maryland","14848"
"Hawaii","14322"
"North Dakota","13760"
"Maine","13690"
"Minnesota","12647"
"Ohio","12645"
"Nebraska","12579"
"California","12143"
"Washington","11989"
"Wisconsin","11968"
"Michigan","11907"
"Virginia","11886"
"West Virginia","11554"
"Iowa","11461"
"Montana","11443"
"Oregon","11264"
"Louisiana","11199"
"Kansas","10961"
"South Carolina","10590"
"Missouri","10589"
"Georgia","10205"
"Kentucky","10121"
"Indiana","10045"
"Arkansas","9967"
"South Dakota","9939"
"New Mexico","9881"
"Colorado","9809"
"Alabama","9511"
"Texas","9375"
"Nevada","9320"
"Tennessee","9184"
"Florida","9075"
"North Carolina","9072"
"Mississippi","8771"
"Arizona","8003"
"Oklahoma","7940"
"Idaho","7486"
"Utah","7179"
